mapa,verze,uzly,vlakna,cas
mapa10_10_hard.txt,DATA,1,16,3.0735
mapa10_10_hard.txt,DATA,1,12,3.07271
mapa10_10_hard.txt,DATA,1,8,3.37252
mapa10_10_hard.txt,DATA,1,4,5.06491
mapa10_10_hard.txt,DATA,1,2,24.6214
mapa10_10_hard.txt,DATA,1,48,1.11473
mapa10_10_hard.txt,DATA,1,32,3.07136
mapa7_12_hard.txt,DATA,1,8,45.3872
mapa7_12_hard.txt,DATA,1,12,27.371
mapa7_12_hard.txt,DATA,1,16,20.1445
mapa7_12_hard.txt,DATA,1,4,92.284
mapa7_12_hard.txt,DATA,1,32,9.03389
mapa7_12_hard.txt,DATA,1,48,6.27769
mapa7_12_hard.txt,DATA,1,2,179.914
mapa9_10_hard.txt,DATA,1,32,4.16108
mapa9_10_hard.txt,DATA,1,16,4.2761
mapa9_10_hard.txt,DATA,1,12,4.28475
mapa9_10_hard.txt,DATA,1,8,4.2846
mapa9_10_hard.txt,DATA,1,4,4.67592
mapa9_10_hard.txt,DATA,1,2,55.9734
mapa9_10_hard.txt,DATA,1,48,4.20708
