mapa,verze,uzly,vlakna,cas
mapa15_5.txt,TASK,1,2,3.33646
mapa15_5.txt,TASK,1,4,1.50149
mapa15_5.txt,TASK,1,8,0.889921
mapa15_5.txt,TASK,1,12,0.686618
mapa15_5.txt,TASK,1,16,0.400895
mapa15_5.txt,TASK,1,32,0.461209
mapa15_5.txt,TASK,1,48,0.312875
mapa15_5.txt,DATA,1,2,0.986677
mapa15_5.txt,DATA,1,4,0.671324
mapa15_5.txt,DATA,1,8,0.315107
mapa15_5.txt,DATA,1,12,0.293629
mapa15_5.txt,DATA,1,16,0.229257
mapa15_5.txt,DATA,1,32,0.170651
mapa15_5.txt,DATA,1,48,0.192109
mapa15_5.txt,MPI,1,48,4.85946
mapa15_5.txt,MPI,2,48,10.0704
mapa15_5.txt,MPI,3,48,7.55778
mapa15_5.txt,MPI,4,48,6.36564
mapa3_11.txt,TASK,1,2,0.0503833
mapa3_11.txt,TASK,1,4,0.0493444
mapa3_11.txt,TASK,1,8,0.0321354
mapa3_11.txt,TASK,1,12,0.039303
mapa3_11.txt,TASK,1,16,0.0382863
mapa3_11.txt,TASK,1,32,0.0246515
mapa3_11.txt,TASK,1,48,0.0264632
mapa3_11.txt,DATA,1,2,0.0461306
mapa3_11.txt,DATA,1,4,0.0419292
mapa3_11.txt,DATA,1,8,0.0373306
mapa3_11.txt,DATA,1,12,0.037474
mapa3_11.txt,DATA,1,16,0.0366049
mapa3_11.txt,DATA,1,32,0.0372237
mapa3_11.txt,DATA,1,48,0.0626062
mapa3_11.txt,MPI,1,48,2.89261
mapa3_11.txt,MPI,2,48,4.9828
mapa3_11.txt,MPI,3,48,4.34978
mapa3_11.txt,MPI,4,48,3.74804
mapa3_5.txt,TASK,1,2,0.00699578
mapa3_5.txt,TASK,1,4,0.00754482
mapa3_5.txt,TASK,1,8,0.00794788
mapa3_5.txt,TASK,1,12,0.0087718
mapa3_5.txt,TASK,1,16,0.00870024
mapa3_5.txt,TASK,1,32,0.0106671
mapa3_5.txt,TASK,1,48,0.0118658
mapa3_5.txt,DATA,1,2,0.0104658
mapa3_5.txt,DATA,1,4,0.010816
mapa3_5.txt,DATA,1,8,0.0113797
mapa3_5.txt,DATA,1,12,0.0120882
mapa3_5.txt,DATA,1,16,0.0123506
mapa3_5.txt,DATA,1,32,0.0140267
mapa3_5.txt,DATA,1,48,0.0159445
mapa3_5.txt,MPI,1,48,3.15608
mapa3_5.txt,MPI,2,48,3.95306
mapa3_5.txt,MPI,3,48,3.40366
mapa3_5.txt,MPI,4,48,3.22803
mapa4_15.txt,TASK,1,2,0.506394
mapa4_15.txt,TASK,1,4,0.236558
mapa4_15.txt,TASK,1,8,0.0171748
mapa4_15.txt,TASK,1,12,0.0314362
mapa4_15.txt,TASK,1,16,0.0133906
mapa4_15.txt,TASK,1,32,0.0129952
mapa4_15.txt,TASK,1,48,0.0139959
mapa4_15.txt,DATA,1,2,0.049309
mapa4_15.txt,DATA,1,4,0.0472144
mapa4_15.txt,DATA,1,8,0.0405435
