mapa,verze,uzly,vlakna,cas
mapa7_12_hard.txt,TASK,1,4,18.3061
mapa7_12_hard.txt,TASK,1,12,18.1182
mapa7_12_hard.txt,TASK,1,16,21.1344
mapa7_12_hard.txt,TASK,1,8,27.2978
mapa7_12_hard.txt,TASK,1,32,18.1274
mapa7_12_hard.txt,TASK,1,48,18.0845
mapa7_12_hard.txt,TASK,1,2,190.952
mapa9_10_hard.txt,TASK,1,16,5.0139
mapa9_10_hard.txt,TASK,1,32,8.54691
mapa9_10_hard.txt,TASK,1,48,4.72782
mapa9_10_hard.txt,TASK,1,8,21.5543
mapa9_10_hard.txt,TASK,1,12,43.8862
mapa10_10_hard.txt,TASK,1,16,29.795
mapa10_10_hard.txt,TASK,1,12,63.8183
mapa9_10_hard.txt,TASK,1,4,109.544
mapa9_10_hard.txt,TASK,1,2,111.041
mapa10_10_hard.txt,TASK,1,32,32.3009
mapa10_10_hard.txt,TASK,1,8,92.9088
mapa10_10_hard.txt,TASK,1,48,34.5433
mapa10_10_hard.txt,TASK,1,4,92.9513
mapa10_10_hard.txt,TASK,1,2,293.945
